PSX,STK,USD,NYSE,SMART
Q,STK,USD,NYSE,SMART
RHT,STK,USD,NYSE,SMART
SBUX,STK,USD,NASDAQ,SMART
SO,STK,USD,NYSE,SMART
STT,STK,USD,NYSE,SMART
SYF,STK,USD,NYSE,SMART
TAP,STK,USD,NYSE,SMART
TROW,STK,USD,NASDAQ,SMART
TWX,STK,USD,NYSE,SMART
UTX,STK,USD,NYSE,SMART
VNO,STK,USD,NYSE,SMART
WBA,STK,USD,NASDAQ,SMART
WMB,STK,USD,NYSE,SMART
XEL,STK,USD,NYSE,SMART
XRX,STK,USD,NYSE,SMART
ZTS,STK,USD,NYSE,SMART
AAL,STK,USD,NASDAQ,SMART
ABBV,STK,USD,NYSE,SMART
ADI,STK,USD,NASDAQ,SMART
AEP,STK,USD,NYSE,SMART
AIG,STK,USD,NYSE,SMART
ALB,STK,USD,NYSE,SMART
ALXN,STK,USD,NASDAQ,SMART
AMGN,STK,USD,NASDAQ,SMART
ANSS,STK,USD,NASDAQ,SMART
APA,STK,USD,NYSE,SMART
ATVI,STK,USD,NASDAQ,SMART
AXP,STK,USD,NYSE,SMART
BAC,STK,USD,NYSE,SMART
BEN,STK,USD,NYSE,SMART
BK,STK,USD,NYSE,SMART
BRK B,STK,USD,NYSE,SMART
CAH,STK,USD,NYSE,SMART
CBS,STK,USD,NYSE,SMART
CERN,STK,USD,NASDAQ,SMART
CHK,STK,USD,NYSE,SMART
CL,STK,USD,NYSE,SMART
CMG,STK,USD,NYSE,SMART
COF,STK,USD,NYSE,SMART
COP,STK,USD,NYSE,SMART
CTSH,STK,USD,NASDAQ,SMART
D,STK,USD,NYSE,SMART
DGX,STK,USD,NYSE,SMART
DISCA,STK,USD,NASDAQ,SMART
DLTR,STK,USD,NASDAQ,SMART
DTE,STK,USD,NYSE,SMART
DXC,STK,USD,NYSE,SMART
EIX,STK,USD,NYSE,SMART
EQIX,STK,USD,NASDAQ,SMART
ESS,STK,USD,NYSE,SMART
EVHC,STK,USD,NYSE,SMART
F,STK,USD,NYSE,SMART
FDX,STK,USD,NYSE,SMART
FISV,STK,USD,NASDAQ,SMART
FLS,STK,USD,NYSE,SMART
FRT,STK,USD,NYSE,SMART
GGP,STK,USD,NYSE,SMART
CSCO,STK,USD,NASDAQ,SMART
GM,STK,USD,NYSE,SMART
GS,STK,USD,NYSE,SMART
HBAN,STK,USD,NASDAQ,SMART
HD,STK,USD,NYSE,SMART
HOLX,STK,USD,NASDAQ,SMART
HRB,STK,USD,NYSE,SMART
HSY,STK,USD,NYSE,SMART
IFF,STK,USD,NYSE,SMART
INTC,STK,USD,NASDAQ,SMART
ISRG,STK,USD,NASDAQ,SMART
JCI,STK,USD,NYSE,SMART
JWN,STK,USD,NYSE,SMART
KIM,STK,USD,NYSE,SMART
KO,STK,USD,NYSE,SMART
LB,STK,USD,NYSE,SMART
LKQ,STK,USD,NASDAQ,SMART
LNC,STK,USD,NYSE,SMART
LUV,STK,USD,NYSE,SMART
MAR,STK,USD,NASDAQ,SMART
MCK,STK,USD,NYSE,SMART
MGM,STK,USD,NYSE,SMART
MMC,STK,USD,NYSE,SMART
MOS,STK,USD,NYSE,SMART
MS,STK,USD,NYSE,SMART
MYL,STK,USD,NASDAQ,SMART
NEM,STK,USD,NYSE,SMART
NLSN,STK,USD,NYSE,SMART
NTAP,STK,USD,NASDAQ,SMART
NWS,STK,USD,NASDAQ,SMART
ORCL,STK,USD,NYSE,SMART
PCAR,STK,USD,NASDAQ,SMART
PEP,STK,USD,NYSE,SMART
PH,STK,USD,NYSE,SMART
PM,STK,USD,NYSE,SMART
PPG,STK,USD,NYSE,SMART
PSA,STK,USD,NYSE,SMART
PYPL,STK,USD,NASDAQ,SMART
RE,STK,USD,NYSE,SMART
RHI,STK,USD,NYSE,SMART
ROP,STK,USD,NYSE,SMART
SBAC,STK,USD,NASDAQ,SMART
SHW,STK,USD,NYSE,SMART
SNA,STK,USD,NYSE,SMART
SPGI,STK,USD,NYSE,SMART
STX,STK,USD,NASDAQ,SMART
SYK,STK,USD,NYSE,SMART
TDG,STK,USD,NYSE,SMART
TMK,STK,USD,NYSE,SMART
TSCO,STK,USD,NASDAQ,SMART
TXN,STK,USD,NASDAQ,SMART
